index,B cells,CAFs,Cholangiocyte,Hepatocytes,Kupffer cells,LSEC,LVEC,LVECm,Myofibroblasts,Pericytes,Proliferation,SAMs,Stellate cells,T cells_far,T cells_tumor,TM1,cDC1,cDC2,Carcinoma
EVI2B,0.000280361,5.63E-06,0,6.08E-07,0.000201348,3.21E-06,8.43E-06,6.18E-06,6.21E-06,1.01E-05,0.000116231,0.00021336,0,0.00012574,0.000105357,0.000257932,0.000511473,0.000375248,2.79E-06
NPIPB4,1.43E-05,2.44E-05,3.37E-05,4.86E-06,1.31E-05,1.60E-05,4.36E-05,4.32E-05,5.59E-05,3.02E-05,1.94E-05,1.89E-05,3.45E-05,2.65E-05,4.52E-05,2.88E-05,0,7.01E-06,3.07E-05
THNSL1,0,0,1.04E-05,1.58E-05,0,0,4.22E-06,3.09E-06,0,0,0,2.57E-06,3.83E-06,0,0,1.44E-06,2.32E-05,0,2.79E-06
TRIM69,5.23E-05,2.82E-05,1.81E-05,4.86E-06,7.69E-05,8.98E-05,2.81E-05,2.78E-05,4.35E-05,6.03E-05,5.81E-05,3.94E-05,2.68E-05,2.65E-05,9.03E-05,3.31E-05,1.16E-05,2.81E-05,1.12E-05
LAMP1,0.000118797,0.000165258,0.000111333,0.000113069,0.000299566,0.000349407,0.000191084,0.000206946,0.000111851,0.00016089,0.000154975,0.0003556,0.000199251,7.28E-05,6.02E-05,0.000100867,0,0.000203405,0.000172967
KLHDC8B,4.75E-06,2.82E-05,5.18E-06,3.04E-06,2.13E-05,6.73E-05,1.97E-05,2.47E-05,1.24E-05,6.03E-05,0,2.91E-05,1.92E-05,0,0,4.32E-06,0,0,8.37E-06
SETD4,4.75E-06,5.63E-06,1.55E-05,2.43E-06,9.82E-06,1.92E-05,4.22E-06,6.18E-06,6.21E-06,3.02E-05,0,1.03E-05,3.83E-06,1.99E-05,1.51E-05,5.76E-06,1.16E-05,1.05E-05,8.37E-06
RNPC3,3.33E-05,1.50E-05,5.18E-05,1.22E-06,2.13E-05,9.62E-06,1.97E-05,1.85E-05,1.86E-05,3.02E-05,1.94E-05,1.37E-05,1.53E-05,4.63E-05,1.51E-05,1.87E-05,1.16E-05,1.05E-05,2.23E-05
ZNF267,4.75E-06,5.63E-06,2.59E-05,1.82E-06,2.13E-05,4.17E-05,1.41E-05,6.18E-06,1.86E-05,0,1.45E-05,4.37E-05,1.15E-05,6.62E-06,1.51E-05,5.04E-05,1.16E-05,5.96E-05,1.39E-05
IRS2,1.43E-05,6.95E-05,0.000126867,7.72E-05,6.06E-05,1.28E-05,2.11E-05,3.09E-06,6.21E-05,6.03E-05,5.81E-05,9.68E-05,5.75E-05,1.32E-05,7.53E-05,9.65E-05,2.32E-05,0.000171842,8.65E-05
BICD2,0,4.51E-05,3.62E-05,9.12E-06,3.77E-05,2.24E-05,3.37E-05,4.02E-05,6.21E-05,7.04E-05,2.42E-05,5.48E-05,5.75E-05,3.31E-05,0,4.76E-05,8.14E-05,4.21E-05,1.39E-05
RASA3,2.38E-05,4.32E-05,0,6.08E-07,2.29E-05,6.41E-06,7.03E-06,1.54E-05,1.24E-05,3.02E-05,0,4.03E-05,2.68E-05,7.94E-05,6.02E-05,2.31E-05,0,1.75E-05,5.58E-06
LRCH3,1.43E-05,2.44E-05,1.81E-05,2.43E-06,2.46E-05,6.09E-05,2.53E-05,2.16E-05,4.97E-05,0,1.45E-05,1.80E-05,4.21E-05,1.99E-05,4.52E-05,1.87E-05,1.16E-05,1.40E-05,3.35E-05
NDUFA13,0.000232842,0.000176525,0.000170883,0.000127051,0.000122773,0.000153867,0.000139098,0.00012355,0.000211275,0.00016089,0.000256677,0.000148238,0.00015327,6.62E-05,0.000180611,0.000128245,0.000197615,0.000196391,0.000212024
ZNF566,0,0,2.59E-06,2.43E-06,3.27E-06,2.24E-05,7.03E-06,0,6.21E-06,0,1.45E-05,5.14E-06,3.83E-06,6.62E-06,0,2.88E-06,1.16E-05,3.51E-06,8.37E-06
ZNF529,0,1.31E-05,0,3.04E-06,3.27E-06,1.28E-05,2.81E-06,9.27E-06,0,1.01E-05,4.84E-06,2.57E-06,3.83E-06,0,1.51E-05,2.88E-06,0,0,5.58E-06
DLEU7,0,0,0,0,1.31E-05,0,0,0,0,0,4.84E-06,4.28E-06,0,0,0,1.44E-06,0,3.51E-06,2.79E-06
