index,B cells,CAFs,Cholangiocyte,Hepatocytes,Kupffer cells,LSEC,LVEC,LVECm,Myofibroblasts,Pericytes,Proliferation,SAMs,Stellate cells,T cells_far,T cells_tumor,TM1,cDC1,cDC2,Carcinoma
VAV2,1.90E-05,1.13E-05,5.18E-06,7.90E-06,4.91E-06,1.60E-05,8.43E-06,3.09E-06,0,0,3.39E-05,5.14E-06,1.53E-05,0,0,1.15E-05,0,1.75E-05,5.58E-06
MCM3AP,0,3.57E-05,4.14E-05,1.82E-05,3.27E-05,2.89E-05,2.95E-05,4.94E-05,4.35E-05,5.03E-05,2.42E-05,2.83E-05,3.07E-05,3.97E-05,1.51E-05,5.33E-05,4.65E-05,1.40E-05,4.74E-05
PCNT,0,9.39E-06,7.77E-06,1.82E-06,1.64E-05,9.62E-06,1.12E-05,1.24E-05,1.24E-05,2.01E-05,2.91E-05,1.89E-05,7.66E-06,3.31E-05,7.53E-05,1.73E-05,1.16E-05,1.75E-05,3.91E-05
DIP2A,1.43E-05,1.88E-05,1.29E-05,6.08E-07,2.29E-05,3.53E-05,3.93E-05,3.09E-05,3.73E-05,1.01E-05,2.91E-05,1.29E-05,1.92E-05,5.29E-05,3.01E-05,2.45E-05,1.16E-05,4.21E-05,3.91E-05
S100B,4.75E-06,3.76E-06,2.59E-06,0,4.91E-06,6.41E-06,2.67E-05,3.09E-06,0,0,1.45E-05,1.37E-05,0,6.62E-06,0,2.88E-05,0.000278985,3.51E-06,0
PRMT2,1.43E-05,4.88E-05,6.99E-05,4.86E-06,6.55E-05,3.53E-05,7.31E-05,4.63E-05,9.94E-05,8.04E-05,4.84E-05,6.77E-05,4.21E-05,0.000132358,9.03E-05,7.06E-05,0.000116244,3.51E-05,6.14E-05
CACFD1,9.50E-06,1.50E-05,3.88E-05,1.52E-05,4.91E-06,1.28E-05,5.62E-06,3.09E-06,0,1.01E-05,1.45E-05,0,7.66E-06,6.62E-06,0,2.88E-06,0,0,2.79E-05
SLC2A6,0,5.63E-06,7.77E-06,0,2.62E-05,0,7.03E-06,2.16E-05,0,2.01E-05,4.84E-06,2.06E-05,1.15E-05,6.62E-06,0,5.76E-06,2.32E-05,5.26E-05,0
ZNF761,9.50E-06,1.88E-06,1.04E-05,1.82E-06,8.18E-06,9.62E-06,1.55E-05,1.24E-05,0,0,9.69E-06,1.71E-06,3.83E-06,0,0,5.76E-06,0,7.01E-06,2.79E-05
FCN2,0,1.88E-06,2.59E-06,4.26E-06,5.57E-05,0.001798325,6.74E-05,1.24E-05,0,0,0,4.28E-06,7.66E-06,0,0,2.88E-06,1.16E-05,7.01E-06,0
ZNF714,0,9.39E-06,1.29E-05,6.08E-07,1.64E-06,9.62E-06,0,1.85E-05,0,0,4.84E-06,7.71E-06,3.83E-06,6.62E-06,0,1.73E-05,2.32E-05,3.51E-06,1.39E-05
GPSM1,0,1.50E-05,1.04E-05,0,0,1.60E-05,7.03E-06,0,6.21E-06,3.02E-05,0,2.57E-06,7.66E-06,0,0,4.32E-06,0,7.01E-06,2.79E-06
SHKBP1,2.85E-05,2.63E-05,1.81E-05,3.04E-06,4.09E-05,3.85E-05,2.67E-05,4.32E-05,1.24E-05,3.02E-05,5.81E-05,6.68E-05,0,3.31E-05,3.01E-05,6.63E-05,4.65E-05,8.07E-05,4.74E-05
ZER1,0,1.88E-05,2.33E-05,5.47E-06,1.31E-05,3.85E-05,2.39E-05,1.24E-05,4.97E-05,3.02E-05,9.69E-06,6.00E-06,2.30E-05,1.99E-05,1.51E-05,1.30E-05,2.32E-05,7.01E-06,2.51E-05
ZDHHC12,2.85E-05,2.25E-05,1.55E-05,1.28E-05,3.60E-05,1.60E-05,1.41E-05,1.54E-05,1.86E-05,1.01E-05,0.000111388,3.43E-05,1.15E-05,3.97E-05,0,2.74E-05,1.16E-05,1.40E-05,3.91E-05
PKN3,0,0,5.18E-06,0,0,1.28E-05,2.39E-05,5.56E-05,0,0,1.45E-05,8.57E-07,0,6.62E-06,0,2.88E-06,0,3.51E-06,0
TAOK1,3.80E-05,5.82E-05,7.51E-05,7.29E-06,6.22E-05,9.62E-05,6.88E-05,6.18E-05,6.84E-05,6.03E-05,4.84E-05,8.05E-05,9.20E-05,5.29E-05,0.000150509,9.08E-05,6.97E-05,8.42E-05,0.000119961
MED27,4.75E-06,1.69E-05,2.07E-05,2.43E-06,4.91E-06,6.41E-06,1.26E-05,1.54E-05,2.49E-05,1.01E-05,0,4.28E-06,2.30E-05,1.32E-05,0,1.30E-05,2.32E-05,0,8.37E-06
DEDD2,4.28E-05,1.13E-05,1.81E-05,9.73E-06,1.80E-05,9.62E-06,9.84E-06,9.27E-06,1.24E-05,1.01E-05,6.30E-05,4.54E-05,7.66E-06,9.27E-05,7.53E-05,5.04E-05,4.65E-05,7.36E-05,5.02E-05
SIK3,0.000736541,0.00059906,0.000603267,0.000217628,0.000386326,0.000455191,0.000606973,0.000593039,0.0005344,0.000442447,0.000605371,0.000550966,0.000536444,0.001694186,0.001399738,0.001007231,0.001022947,0.000757509,0.000376622
JAML,0,5.63E-06,0,6.08E-07,3.93E-05,6.41E-06,0,0,6.21E-06,1.01E-05,5.81E-05,6.17E-05,7.66E-06,7.28E-05,3.01E-05,0.000335744,3.49E-05,0.00014028,0
PCSK7,9.50E-06,2.82E-05,1.55E-05,4.26E-06,2.62E-05,1.60E-05,3.37E-05,3.09E-05,6.21E-05,3.02E-05,2.91E-05,2.14E-05,1.92E-05,8.60E-05,4.52E-05,2.74E-05,1.16E-05,6.31E-05,7.53E-05
SAFB,2.38E-05,3.76E-05,0.000106154,9.73E-06,4.42E-05,6.09E-05,3.65E-05,3.71E-05,2.49E-05,4.02E-05,3.87E-05,3.77E-05,3.07E-05,4.63E-05,1.51E-05,2.45E-05,2.32E-05,3.51E-05,5.58E-05
CD3G,0,0,0,0,3.27E-06,0,0,3.09E-06,0,1.01E-05,1.45E-05,8.57E-07,0,0.000172066,0.000240815,2.88E-06,0,3.51E-06,0
CHTOP,2.85E-05,7.32E-05,0.000103565,1.09E-05,2.78E-05,3.85E-05,5.06E-05,2.78E-05,6.84E-05,5.03E-05,7.26E-05,2.91E-05,2.30E-05,4.63E-05,1.51E-05,2.02E-05,1.16E-05,3.16E-05,4.46E-05
ZBTB7B,4.75E-06,7.51E-06,1.81E-05,5.47E-06,1.80E-05,6.41E-06,2.81E-06,6.18E-06,3.11E-05,0,9.69E-06,1.37E-05,0,6.62E-06,0,8.65E-06,0,1.75E-05,1.39E-05
FLAD1,1.43E-05,9.39E-06,2.59E-05,1.34E-05,9.82E-06,1.92E-05,1.12E-05,1.24E-05,3.11E-05,7.04E-05,1.45E-05,1.80E-05,1.15E-05,1.99E-05,1.51E-05,2.45E-05,2.32E-05,1.40E-05,2.79E-05
VPS11,1.90E-05,2.25E-05,2.07E-05,1.82E-06,1.80E-05,3.53E-05,1.97E-05,1.54E-05,3.11E-05,6.03E-05,1.94E-05,2.74E-05,1.15E-05,1.32E-05,3.01E-05,1.59E-05,4.65E-05,1.05E-05,4.18E-05
NLRX1,0,1.50E-05,5.18E-06,1.22E-06,3.27E-06,6.41E-06,5.62E-06,1.24E-05,6.21E-06,1.01E-05,9.69E-06,6.85E-06,7.66E-06,1.32E-05,0,5.76E-06,1.16E-05,3.51E-06,8.37E-06
ADAR,8.08E-05,0.000146479,8.03E-05,4.98E-05,0.000153876,0.000169895,0.000129263,0.000160615,8.70E-05,0.00016089,0.000135603,9.08E-05,7.66E-05,0.000152212,0.000120408,9.51E-05,8.14E-05,6.66E-05,7.81E-05
IL6R,9.98E-05,1.13E-05,6.21E-05,5.41E-05,6.55E-05,6.41E-06,1.69E-05,2.16E-05,6.21E-05,1.01E-05,3.39E-05,6.43E-05,1.53E-05,6.62E-06,3.01E-05,9.94E-05,0.000151117,0.000133266,0
UBE2Q1,4.28E-05,7.14E-05,7.25E-05,2.19E-05,6.88E-05,6.09E-05,7.17E-05,5.56E-05,2.49E-05,2.01E-05,5.81E-05,6.26E-05,6.13E-05,6.62E-05,4.52E-05,5.91E-05,6.97E-05,4.91E-05,8.65E-05
CRTC2,1.90E-05,1.88E-05,1.55E-05,1.28E-05,9.82E-06,3.85E-05,2.11E-05,1.54E-05,1.24E-05,3.02E-05,2.42E-05,2.14E-05,1.53E-05,2.65E-05,3.01E-05,1.73E-05,2.32E-05,3.51E-05,1.67E-05
ANO10,1.43E-05,1.31E-05,1.04E-05,2.43E-06,1.15E-05,2.89E-05,2.11E-05,1.85E-05,1.86E-05,2.01E-05,0,1.80E-05,1.92E-05,1.99E-05,1.51E-05,2.31E-05,2.32E-05,1.75E-05,3.63E-05
FDPS,7.13E-05,7.70E-05,8.03E-05,0.000192096,3.60E-05,7.37E-05,0.000120833,0.000126639,1.86E-05,9.05E-05,0.000111388,4.11E-05,4.21E-05,2.65E-05,3.01E-05,5.04E-05,3.49E-05,3.86E-05,5.86E-05
RUSC1,0,2.82E-05,3.11E-05,1.82E-06,1.15E-05,1.28E-05,1.83E-05,2.16E-05,1.86E-05,5.03E-05,9.69E-06,9.43E-06,5.36E-05,1.99E-05,0,1.44E-05,1.16E-05,1.40E-05,2.23E-05
FAM189B,9.50E-06,1.31E-05,1.81E-05,3.04E-06,4.91E-06,1.60E-05,2.39E-05,1.24E-05,3.11E-05,0,2.42E-05,4.28E-06,1.92E-05,0,3.01E-05,1.15E-05,2.32E-05,3.51E-06,1.12E-05
SLC25A44,9.50E-06,2.25E-05,2.59E-05,1.82E-05,2.62E-05,3.21E-05,2.53E-05,3.40E-05,1.24E-05,2.01E-05,1.94E-05,2.23E-05,3.07E-05,2.65E-05,3.01E-05,1.87E-05,2.32E-05,3.86E-05,3.07E-05
LMNA,9.98E-05,0.000324882,0.000233022,3.65E-05,8.51E-05,0.000144251,0.000583087,0.000905003,0.000453619,0.000532947,0.00013076,0.000157664,0.000383174,8.60E-05,7.53E-05,0.000145537,0.000174366,0.000101703,0.000195285
CCR5,0,0,0,6.08E-07,3.27E-06,6.41E-06,1.41E-06,6.18E-06,0,0,1.94E-05,3.77E-05,7.66E-06,3.31E-05,3.01E-05,4.90E-05,0,3.16E-05,0
NBEAL2,9.50E-06,5.63E-06,3.11E-05,0,4.91E-06,2.56E-05,2.39E-05,4.63E-05,0,0,2.91E-05,1.46E-05,3.83E-06,3.31E-05,4.52E-05,2.02E-05,0.000116244,2.81E-05,3.07E-05
CCDC12,9.50E-06,1.88E-05,6.21E-05,1.09E-05,2.29E-05,5.13E-05,3.23E-05,5.25E-05,1.24E-05,4.02E-05,1.45E-05,2.91E-05,1.15E-05,1.99E-05,4.52E-05,2.59E-05,0.000116244,1.75E-05,5.58E-05
PTH1R,0,3.57E-05,0,0,1.64E-06,2.24E-05,7.03E-06,3.09E-06,3.73E-05,1.01E-05,0,8.57E-07,0.000168597,0,0,1.44E-06,1.16E-05,0,0
UBQLN4,0,1.69E-05,1.55E-05,5.47E-06,8.18E-06,1.28E-05,2.25E-05,9.27E-06,6.21E-06,1.01E-05,1.94E-05,1.03E-05,1.15E-05,1.32E-05,3.01E-05,1.01E-05,0,7.01E-06,1.39E-05
PPP1R35,4.75E-06,2.07E-05,2.07E-05,6.69E-06,6.55E-06,1.28E-05,1.55E-05,1.54E-05,1.86E-05,2.01E-05,9.69E-06,1.11E-05,3.07E-05,3.97E-05,1.51E-05,7.20E-06,1.16E-05,2.45E-05,3.91E-05
GPATCH4,2.38E-05,2.82E-05,5.96E-05,1.28E-05,3.93E-05,1.92E-05,2.39E-05,3.09E-05,0.000111851,5.03E-05,2.91E-05,3.43E-05,1.92E-05,6.62E-05,1.51E-05,1.30E-05,3.49E-05,3.16E-05,3.35E-05
AZGP1,0,0,0.000165704,0.000934949,9.82E-06,1.92E-05,7.03E-06,6.18E-06,1.24E-05,0,2.91E-05,4.28E-06,7.66E-06,6.62E-06,0,2.59E-05,1.16E-05,3.51E-06,5.58E-06
FGFR4,0,0,8.54E-05,1.70E-05,0,1.92E-05,1.41E-06,3.09E-06,6.21E-06,0,1.94E-05,0,3.83E-06,0,0,1.44E-06,0,0,8.37E-06
CYP3A4,0,5.63E-06,4.66E-05,0.003498459,2.46E-05,4.81E-05,2.67E-05,1.54E-05,2.49E-05,0,4.84E-06,5.14E-06,7.66E-06,2.65E-05,0,5.76E-06,1.16E-05,7.01E-06,2.79E-06
NACC1,2.38E-05,1.13E-05,3.11E-05,4.26E-06,2.78E-05,2.56E-05,1.69E-05,1.24E-05,2.49E-05,3.02E-05,1.94E-05,2.66E-05,1.15E-05,1.32E-05,6.02E-05,1.87E-05,1.16E-05,2.81E-05,1.39E-05
HK3,0,0,0,0,8.35E-05,0,0,0,0,0,9.69E-06,4.20E-05,0,0,0,7.20E-06,0,4.56E-05,0
IER2,0.000275609,0.000142723,0.000261502,1.40E-05,0.00015715,0.000237212,0.000198109,0.000327407,0.000434977,0.000140779,0.000121074,0.000178229,0.000107289,0.000383839,0.000270917,0.000178679,0.000197615,0.000217433,0.000220393
ZNF394,2.38E-05,1.31E-05,2.33E-05,6.08E-06,2.46E-05,1.92E-05,2.67E-05,1.24E-05,2.49E-05,3.02E-05,0,1.97E-05,1.15E-05,6.62E-05,1.51E-05,2.88E-05,0,2.45E-05,1.67E-05
CPSF4,1.43E-05,1.13E-05,7.77E-06,4.26E-06,9.82E-06,0,9.84E-06,6.18E-06,1.24E-05,0,1.45E-05,7.71E-06,7.66E-06,1.99E-05,4.52E-05,2.88E-06,2.32E-05,1.05E-05,1.39E-05
LY6E,1.90E-05,0.000135211,4.66E-05,0.000164741,0.000132595,9.62E-05,9.84E-05,8.03E-05,6.21E-06,0.000170945,7.75E-05,5.74E-05,0.000141774,6.62E-05,4.52E-05,5.04E-05,0,7.36E-05,3.07E-05
VPS28,3.80E-05,0.000107042,0.000106154,3.22E-05,5.89E-05,9.30E-05,9.55E-05,7.72E-05,0.000149135,0.00016089,8.23E-05,8.05E-05,6.13E-05,0.000132358,9.03E-05,7.35E-05,0.000151117,0.000101703,0.000172967
PWWP3A,4.75E-06,4.32E-05,4.14E-05,9.73E-06,1.96E-05,1.92E-05,1.41E-05,3.40E-05,2.49E-05,3.02E-05,1.94E-05,1.03E-05,3.45E-05,0,1.51E-05,1.73E-05,0,1.05E-05,2.79E-05
LRRC14,0,1.31E-05,2.59E-05,0,4.91E-06,6.41E-06,1.55E-05,1.54E-05,6.21E-06,0,1.45E-05,1.71E-06,1.92E-05,3.97E-05,1.51E-05,1.01E-05,0,3.51E-06,8.37E-06
ZNF333,4.75E-06,1.88E-05,5.18E-06,6.08E-07,9.82E-06,3.21E-06,1.26E-05,1.24E-05,1.86E-05,1.01E-05,9.69E-06,1.71E-06,7.66E-06,0,0,4.32E-06,0,3.51E-06,5.58E-06
PPP1R16A,4.75E-06,1.13E-05,3.11E-05,4.38E-05,3.27E-06,1.28E-05,7.03E-06,6.18E-06,1.24E-05,1.01E-05,1.94E-05,8.57E-06,1.53E-05,0,0,1.59E-05,1.16E-05,1.05E-05,0.000103222
ORAI2,0.000223338,3.94E-05,2.59E-05,0,4.26E-05,8.98E-05,5.20E-05,5.25E-05,6.21E-06,4.02E-05,4.36E-05,5.48E-05,3.45E-05,5.29E-05,0,4.61E-05,6.97E-05,6.31E-05,5.58E-06
ALKBH4,9.50E-06,2.25E-05,5.18E-06,7.29E-06,8.18E-06,6.41E-06,9.84E-06,0,6.21E-06,1.01E-05,1.45E-05,8.57E-06,1.92E-05,6.62E-06,1.51E-05,4.32E-06,1.16E-05,7.01E-06,2.23E-05
MRNIP,4.28E-05,4.51E-05,3.11E-05,2.19E-05,4.42E-05,5.77E-05,3.79E-05,4.63E-05,5.59E-05,7.04E-05,5.33E-05,5.31E-05,1.53E-05,6.62E-06,1.51E-05,2.45E-05,5.81E-05,2.10E-05,4.74E-05
SQSTM1,0.000180571,0.000338028,0.000390959,0.000145288,0.00024882,0.000314146,0.000219185,0.000219301,0.00023613,0.000321779,0.000135603,0.00032561,0.000291212,0.000145594,0.000195662,0.000187325,0.00010462,0.00022094,0.000371042
MGAT4B,2.38E-05,3.19E-05,3.37E-05,6.32E-05,1.31E-05,5.13E-05,4.64E-05,3.71E-05,6.21E-06,2.01E-05,1.94E-05,2.74E-05,3.45E-05,3.31E-05,0,3.03E-05,0,2.81E-05,0.000142279
RPL8,0.001458827,0.001216899,0.001307511,0.00035866,0.00070881,0.00075972,0.001362878,0.00128183,0.001087443,0.000965338,0.00150132,0.001037667,0.001118868,0.001336819,0.001294381,0.001406377,0.001964522,0.001416823,0.001947273
MAML1,4.75E-06,2.25E-05,1.29E-05,0,6.55E-06,1.28E-05,2.25E-05,1.24E-05,2.49E-05,5.03E-05,2.42E-05,6.85E-06,3.07E-05,1.99E-05,1.51E-05,8.65E-06,1.16E-05,2.10E-05,1.67E-05
PGLYRP2,0,1.88E-06,5.18E-06,0.000237081,0,3.21E-06,1.41E-06,0,6.21E-06,0,1.45E-05,8.57E-07,0,0,0,1.15E-05,0,1.05E-05,0
LRWD1,9.50E-06,3.76E-06,2.59E-06,2.43E-06,3.27E-06,3.21E-06,2.81E-06,3.09E-06,0,0,4.84E-06,8.57E-07,3.83E-06,6.62E-06,0,5.76E-06,0,3.51E-06,0
NAPEPLD,0,1.69E-05,7.77E-06,4.86E-06,6.55E-06,9.62E-06,9.84E-06,1.24E-05,1.86E-05,1.01E-05,1.45E-05,1.29E-05,1.15E-05,2.65E-05,0,8.65E-06,1.16E-05,3.51E-06,1.95E-05
SCGB3A1,0,0,8.29E-05,0,1.64E-06,9.62E-06,7.17E-05,1.85E-05,0,0,0,0,0,0,1.51E-05,4.32E-06,0,0,0
PSMC2,8.55E-05,0.00010892,8.29E-05,7.23E-05,7.37E-05,7.69E-05,0.000106782,0.000132816,0.000105637,9.05E-05,0.000125917,0.00011482,0.000107289,0.000132358,0.000180611,9.80E-05,8.14E-05,7.72E-05,8.09E-05
MFSD12,2.38E-05,5.26E-05,5.18E-06,4.86E-06,7.69E-05,1.92E-05,1.26E-05,3.71E-05,1.24E-05,7.04E-05,4.36E-05,9.43E-05,2.30E-05,3.97E-05,3.01E-05,3.89E-05,2.32E-05,6.31E-05,2.79E-06
YDJC,9.50E-06,1.50E-05,1.04E-05,4.86E-06,8.18E-06,0,5.62E-06,0,0,0,4.36E-05,1.11E-05,7.66E-06,1.32E-05,1.51E-05,8.65E-06,0,1.40E-05,1.67E-05
DVL3,3.33E-05,5.07E-05,2.33E-05,7.90E-06,2.29E-05,3.53E-05,3.79E-05,2.47E-05,4.35E-05,9.05E-05,5.33E-05,3.08E-05,5.36E-05,0,3.01E-05,2.31E-05,3.49E-05,2.10E-05,7.81E-05
AP2M1,6.18E-05,0.000249765,9.32E-05,4.74E-05,9.49E-05,0.000192334,0.00024869,0.000210035,0.000161563,0.000341891,0.000150132,0.000181656,0.000160933,0.000145594,0.000105357,0.000118159,9.30E-05,0.000115731,0.000164598
PCYT1A,1.90E-05,1.88E-05,2.07E-05,1.95E-05,3.44E-05,2.56E-05,3.37E-05,4.32E-05,4.35E-05,4.02E-05,1.45E-05,3.00E-05,3.45E-05,5.29E-05,1.51E-05,1.87E-05,3.49E-05,3.51E-05,4.74E-05
DMKN,4.75E-06,2.63E-05,0.000113922,0,3.27E-06,3.21E-06,2.81E-06,0,0,0,1.45E-05,5.14E-06,1.15E-05,0,0,1.44E-06,0,0,5.58E-06
BDH1,0,0,0,7.78E-05,4.91E-06,3.21E-06,0,0,6.21E-06,0,1.45E-05,4.28E-06,0,6.62E-06,0,2.88E-06,1.16E-05,0,0.000142279
COX7A1,0,0.000135211,0,1.82E-06,6.55E-06,8.33E-05,8.01E-05,6.49E-05,0.000273414,0.000211168,9.69E-06,6.00E-06,0.000118784,0,1.51E-05,2.88E-06,0,3.51E-06,0
PGAP3,9.50E-06,7.51E-06,2.59E-06,6.69E-06,1.15E-05,2.24E-05,9.84E-06,2.47E-05,0,0,0,5.14E-06,7.66E-06,0,3.01E-05,8.65E-06,0,1.75E-05,3.91E-05
IKZF3,8.55E-05,1.88E-06,2.59E-06,0,6.55E-06,3.21E-06,2.81E-06,6.18E-06,0,0,6.78E-05,1.71E-06,3.83E-06,0.000357367,0.000225764,5.76E-06,0,3.51E-06,0
FDXR,0,7.51E-06,2.59E-06,5.47E-06,1.64E-06,3.21E-06,1.41E-06,9.27E-06,0,0,1.45E-05,8.57E-07,1.15E-05,0,1.51E-05,2.88E-06,0,0,0
SAP30BP,8.08E-05,6.38E-05,6.73E-05,1.03E-05,5.40E-05,5.77E-05,8.57E-05,0.000111195,0.000136707,4.02E-05,5.33E-05,4.80E-05,4.60E-05,3.97E-05,4.52E-05,2.74E-05,4.65E-05,3.86E-05,5.86E-05
ACOX1,1.90E-05,2.82E-05,6.73E-05,0.000151367,3.60E-05,4.17E-05,2.11E-05,6.18E-06,1.24E-05,1.01E-05,1.94E-05,3.94E-05,2.30E-05,2.65E-05,1.51E-05,1.87E-05,0,3.16E-05,8.65E-05
PRPSAP1,1.90E-05,1.88E-05,6.21E-05,2.98E-05,1.15E-05,1.60E-05,2.95E-05,2.16E-05,3.73E-05,2.01E-05,4.84E-05,1.97E-05,3.07E-05,3.97E-05,0,3.46E-05,1.16E-05,7.01E-06,3.07E-05
SRSF2,0.000166316,0.000137089,0.000212309,4.44E-05,0.000112951,0.000153867,0.000164388,0.000176059,0.000205061,0.000120667,0.000242148,0.000119962,0.000126447,0.000330896,0.000180611,0.000206057,0.000151117,0.000203405,0.000122751
ZNF577,0,1.50E-05,1.55E-05,4.26E-06,1.31E-05,2.56E-05,2.39E-05,1.85E-05,3.11E-05,0,4.84E-06,5.14E-06,1.53E-05,0,1.51E-05,4.32E-06,1.16E-05,1.05E-05,3.91E-05
ALDH16A1,3.33E-05,3.19E-05,1.29E-05,4.26E-06,2.62E-05,1.92E-05,9.84E-06,5.56E-05,6.21E-06,0,2.91E-05,2.23E-05,0,6.62E-06,3.01E-05,2.59E-05,2.32E-05,1.05E-05,1.67E-05
ITGA5,4.75E-06,8.64E-05,6.73E-05,7.29E-06,1.47E-05,0.000121812,0.000213564,0.000472578,1.86E-05,8.04E-05,3.39E-05,6.17E-05,5.75E-05,0,3.01E-05,3.31E-05,1.16E-05,9.12E-05,2.79E-06
ZNF385A,0,7.51E-06,2.59E-06,0,6.22E-05,0,5.62E-06,0,1.24E-05,2.01E-05,4.84E-05,9.00E-05,2.68E-05,0,1.51E-05,7.49E-05,4.65E-05,0.000171842,0
CD300LG,4.75E-06,0,0,0,1.64E-06,3.21E-05,2.39E-05,3.71E-05,0,0,0,0,0,6.62E-06,0,0,0,0,0
LSM12,1.90E-05,9.39E-06,4.14E-05,5.47E-06,2.13E-05,1.28E-05,2.39E-05,1.85E-05,6.21E-06,2.01E-05,4.84E-06,1.71E-05,1.15E-05,6.62E-06,4.52E-05,2.02E-05,5.81E-05,2.45E-05,2.79E-05
EMC10,4.75E-05,0.000131455,0.000103565,5.47E-05,0.000117862,4.49E-05,6.46E-05,6.80E-05,3.73E-05,8.04E-05,4.84E-05,9.08E-05,0.000107289,5.29E-05,6.02E-05,5.62E-05,4.65E-05,6.66E-05,8.09E-05
JOSD2,4.75E-06,3.19E-05,2.59E-05,7.90E-06,2.13E-05,9.62E-06,8.43E-06,1.24E-05,4.35E-05,3.02E-05,4.84E-06,1.89E-05,7.66E-06,6.62E-06,0,1.59E-05,1.16E-05,2.10E-05,5.58E-06
FMNL3,1.43E-05,3.38E-05,2.59E-06,6.08E-07,1.96E-05,2.56E-05,2.11E-05,8.03E-05,3.73E-05,6.03E-05,1.94E-05,5.40E-05,3.45E-05,6.62E-06,1.51E-05,5.19E-05,0,2.45E-05,2.79E-06
RACGAP1,1.43E-05,1.88E-06,2.59E-06,0,6.55E-06,6.41E-06,4.22E-06,3.09E-06,0,1.01E-05,9.69E-05,8.57E-06,1.15E-05,1.99E-05,3.01E-05,4.32E-06,0,1.05E-05,5.58E-06
LARP4,1.43E-05,3.76E-05,3.11E-05,5.29E-05,5.89E-05,4.49E-05,4.22E-05,1.24E-05,6.21E-05,1.01E-05,3.39E-05,4.46E-05,4.60E-05,1.99E-05,6.02E-05,2.59E-05,2.32E-05,1.05E-05,1.12E-05
TAMALIN,1.43E-05,1.88E-05,7.77E-06,2.43E-06,7.20E-05,0.000237212,0.000167198,0.000268721,0,1.01E-05,0,7.80E-05,0,0,1.51E-05,0.000170033,4.65E-05,0.000126252,0
LEMD2,9.50E-06,3.19E-05,3.37E-05,6.08E-06,3.27E-05,3.85E-05,1.69E-05,3.40E-05,2.49E-05,1.01E-05,3.87E-05,2.06E-05,1.92E-05,3.31E-05,1.51E-05,1.44E-05,3.49E-05,3.86E-05,3.63E-05
MED11,1.43E-05,3.38E-05,3.11E-05,8.51E-06,2.62E-05,3.21E-05,2.81E-05,2.16E-05,6.21E-06,1.01E-05,1.94E-05,2.31E-05,1.53E-05,1.99E-05,1.51E-05,1.15E-05,1.16E-05,2.45E-05,5.58E-06
CXCL16,2.85E-05,1.88E-05,3.62E-05,1.03E-05,0.00053038,0.000708431,8.15E-05,2.16E-05,0,1.01E-05,0.000106545,0.000475562,7.66E-06,1.32E-05,1.51E-05,0.000324216,0.000441727,0.00032615,1.95E-05
SCIMP,0,0,2.59E-06,0,0.000191526,6.41E-06,7.03E-06,3.09E-06,6.21E-06,0,4.84E-06,7.97E-05,0,0,0,6.63E-05,5.81E-05,0.000108717,0
RNASEK-C17orf49,9.98E-05,7.89E-05,6.47E-05,1.76E-05,4.42E-05,8.01E-05,8.43E-05,0.000132816,4.97E-05,5.03E-05,0.00013076,8.31E-05,3.45E-05,0.000145594,0.000195662,9.37E-05,6.97E-05,7.72E-05,3.91E-05
BCL6B,0,3.76E-06,2.59E-06,1.22E-06,1.64E-06,0.000141045,8.85E-05,0.000333585,6.21E-06,0,0,8.57E-07,0,0,0,1.44E-06,0,0,2.79E-06
ASGR2,0,1.88E-06,5.70E-05,0.000234649,1.64E-06,6.41E-06,5.62E-06,0,1.24E-05,0,0,4.28E-06,7.66E-06,0,0,1.44E-05,0,1.05E-05,0
SENP3,1.43E-05,1.50E-05,3.62E-05,5.47E-06,1.47E-05,2.24E-05,2.39E-05,3.71E-05,0,0,2.42E-05,8.57E-06,1.15E-05,1.32E-05,3.01E-05,2.59E-05,1.16E-05,3.51E-06,8.37E-06
POLR3K,1.43E-05,1.31E-05,7.77E-06,8.51E-06,3.27E-06,1.28E-05,1.83E-05,2.78E-05,6.21E-06,1.01E-05,6.30E-05,2.06E-05,1.15E-05,1.99E-05,4.52E-05,1.30E-05,1.16E-05,3.16E-05,2.79E-06
SNRNP25,1.90E-05,3.76E-06,1.04E-05,2.25E-05,1.47E-05,3.53E-05,1.83E-05,9.27E-06,2.49E-05,0,5.33E-05,1.54E-05,1.15E-05,2.65E-05,1.51E-05,4.18E-05,5.81E-05,1.40E-05,0
JMJD8,2.85E-05,5.07E-05,6.21E-05,2.61E-05,2.46E-05,4.49E-05,3.79E-05,6.49E-05,6.21E-05,5.03E-05,5.81E-05,2.06E-05,6.90E-05,6.62E-05,9.03E-05,2.45E-05,1.16E-05,3.86E-05,1.95E-05
SPSB3,2.85E-05,4.13E-05,6.21E-05,8.21E-05,1.31E-05,2.89E-05,3.93E-05,4.94E-05,2.49E-05,1.01E-05,2.91E-05,1.89E-05,2.30E-05,7.28E-05,7.53E-05,2.31E-05,5.81E-05,4.91E-05,4.46E-05
TBC1D24,9.50E-06,1.13E-05,2.59E-06,1.09E-05,3.27E-06,9.62E-06,7.03E-06,9.27E-06,0,2.01E-05,0,6.00E-06,7.66E-06,6.62E-06,0,1.44E-06,0,7.01E-06,8.37E-06
