gene,1_non_malignant_core,2_non_malignant_border,3_malignant_border,4_malignant_core,5_malignant_collagen
FCSK,5.48E-06,7.03E-07,2.58E-06,1.56E-05,7.76E-06
FDCSP,2.19E-06,4.92E-06,5.16E-06,7.85E-06,0
FDFT1,2.51E-05,2.51E-05,7.94E-05,6.36E-05,8.70E-05
FDPS,4.21E-05,4.71E-05,7.12E-05,6.20E-05,2.77E-05
FDX1,4.85E-05,6.11E-05,2.60E-05,5.60E-05,1.08E-05
FDXR,0,6.13E-06,1.29E-06,1.65E-05,1.06E-05
FECH,3.29E-06,1.34E-05,4.30E-06,3.74E-06,0.000290455
FEM1A,0.000124952,5.42E-05,0.000196997,6.32E-05,0.000119376
FEM1B,1.11E-05,2.93E-05,4.88E-05,4.34E-05,4.29E-05
FEM1C,1.56E-05,8.34E-06,2.02E-05,3.25E-05,1.25E-05
FEN1,0,3.42E-06,1.29E-06,2.94E-06,0
FER,1.91E-05,6.47E-05,2.53E-05,5.88E-05,6.42E-05
FER1L6,0,0,1.83E-06,0,0
FERMT1,0,7.77E-05,3.79E-05,9.28E-05,2.76E-05
FERMT2,0.000112856,0.000161761,8.58E-05,5.88E-05,0.000477513
FERMT3,3.29E-06,6.83E-06,2.73E-05,1.30E-05,2.47E-05
FES,2.48E-05,4.26E-05,1.29E-06,1.51E-05,4.51E-06
FETUB,8.70E-05,5.85E-05,7.41E-06,0,0
FEV,0,0,0,0,0
FEZ1,2.27E-05,1.18E-05,7.74E-06,9.38E-06,1.38E-05
FEZ2,1.17E-05,2.64E-05,1.82E-05,6.74E-05,5.76E-05
FEZF1,0,0,6.45E-07,0,0
FEZF2,2.51E-06,0,6.45E-07,6.76E-07,1.50E-06
FFAR1,1.10E-06,0,0,0,0
FFAR2,0,1.07E-05,6.45E-07,7.31E-06,2.62E-05
FFAR4,1.10E-06,0,5.62E-05,6.94E-06,0
FGA,0.005893304,0.005158355,0.001084576,0.000461234,0.000201305
FGB,0.007898142,0.007819,0.001439659,0.000718736,0.000150169
FGD1,0,0,0,8.20E-06,9.26E-06
FGD2,3.27E-05,1.83E-05,3.61E-05,1.73E-05,2.77E-05
FGD3,0,6.93E-06,7.52E-06,9.30E-06,6.14E-06
FGD4,5.62E-05,6.83E-05,0.000132102,6.14E-05,4.58E-05
FGD5,0,6.13E-06,3.76E-06,9.32E-06,6.26E-06
