gene,1_nmc_H5,2_nmb_H5,3_mb_H5,4_mc_H5,5_mcol_H5
STIP1,0.00010202421688804005,4.409211498081549e-05,2.5575004566278702e-05,6.179327805526346e-05,6.670588399442283e-05
STK10,9.34517930211596e-05,4.4203294134494223e-05,0.00012911387931431294,2.4367733698430403e-05,4.465018257239738e-05
STK11,3.622006765320355e-05,7.833999214221089e-05,6.189753160760662e-05,0.00013038906762143389,3.98284418805759e-05
STK11IP,2.509001041235432e-06,2.1100370241163164e-06,5.587497190925318e-06,7.94339074889472e-06,1.876782943796607e-05
STK16,9.239594467332775e-06,4.9234197229380715e-06,8.81251299350275e-06,1.2493434722128082e-05,4.51298838055925e-06
STK17A,2.418255956907413e-05,8.608569359861315e-05,7.156207797380179e-05,8.159045342381821e-05,6.587929331423103e-05
STK17B,2.991172978994151e-05,2.5104383390224694e-05,4.5817858457537246e-05,7.780655732925602e-05,0.0003789992782637582
STK19,3.3629824854967844e-05,2.0579677637607564e-05,5.696262817782348e-06,2.8696019783911096e-05,0.0
STK24,3.214436438437238e-05,5.571355354485824e-05,7.981656475127935e-05,0.000234845390735,0.0001151531790316504
STK25,3.576685468661789e-05,6.48180432613639e-05,8.327883542759811e-05,4.9066565277259416e-05,2.4546521973468712e-05
STK3,8.399055889669923e-05,0.0001344044882436586,7.253337801488836e-05,0.0001245421385803345,0.00010299871503356613
STK31,0.0,2.8133826988217555e-06,2.5800126420619463e-06,8.203714641989893e-06,0.0
STK32A,0.0,0.0,6.450031605154866e-07,0.0,0.0
STK32B,0.0,0.0,0.0,2.7345715473299645e-06,2.624029109229585e-05
STK32C,2.509001041235432e-06,2.7137042062415198e-06,3.276830391726896e-05,1.0650514767083306e-05,0.0
STK33,0.0,1.4066913494108778e-06,2.4712470152049156e-06,2.7345715473299645e-06,3.1279715729943444e-06
STK35,6.114475276442455e-06,1.4767657542358156e-05,3.133930730781655e-05,1.5223284557266403e-05,1.5043294601864166e-06
STK36,6.114475276442455e-06,0.0,1.9350094815464596e-06,1.0041912884843028e-05,0.0
STK38,1.3668620477879793e-05,3.837977337814631e-05,0.00015103869779780737,0.00013669569990081763,1.817126617485851e-05
STK38L,2.553940805292067e-05,1.5778236547904152e-05,7.596833447055316e-05,0.00011602917418769246,0.00020982085186041022
STK39,0.0,5.4274084124830395e-06,2.149504495009842e-05,4.554583370271334e-05,7.521647300932083e-06
STK4,7.069469734563786e-05,8.334638644371856e-05,0.00011375767338352459,9.142811616257822e-05,0.00022525343429207628
STK40,2.9092177816813678e-05,5.262933994340493e-05,3.162778892619654e-05,1.2246083959444524e-05,1.54012325597287e-05
STKLD1,0.0,1.143618386643686e-05,6.450031605154866e-07,0.0,0.0
STMN1,1.1748595508568208e-05,1.6778016073894238e-05,3.191627054457654e-05,3.868553784468173e-05,3.230679457964382e-05
STMN2,8.07787067329052e-06,2.1100370241163164e-06,2.719130776788077e-05,3.0110430796289583e-05,3.566479356972241e-05
STMN3,0.0,6.130754087188478e-06,5.587497190925318e-06,1.3570490211306574e-05,8.746763697431951e-06
STMND1,5.031573121336386e-06,9.943916312000319e-06,1.2900063210309731e-06,0.0,0.0
STMP1,3.5315036927987445e-05,4.206765416172483e-05,6.401778261896328e-05,0.00010712568838068091,7.568215944496762e-05
STN1,2.192946387943181e-06,2.1100370241163164e-06,6.450031605154865e-06,8.70560687577648e-06,7.640959953553595e-06
STOM,0.00024337849376652792,0.00023335592670474046,0.00010018238235113495,4.993110973863681e-05,0.00040516944235003484
